"8","2008-02-17","O","58508"
"8","2008-02-24","A","58947"
"8","2008-02-24","C","53174"
"8","2008-02-24","O","54575"
"8","2008-03-02","A","46848"
"8","2008-03-02","C","43530"
"8","2008-03-02","O","47194"
"8","2008-03-09","A","35694"
"8","2008-03-09","C","35768"
"8","2008-03-09","O","39184"
"8","2008-03-16","A","26412"
"8","2008-03-16","C","25421"
"8","2008-03-16","O","31631"
"8","2008-03-23","A","21838"
"8","2008-03-23","C","19879"
"8","2008-03-23","O","28639"
"8","2008-03-30","A","18073"
"8","2008-03-30","C","17509"
"8","2008-03-30","O","26693"
"9","2009-01-11","A","11678"
"9","2009-01-11","C","18473"
"9","2009-01-11","O","24437"
"9","2009-01-18","A","13575"
"9","2009-01-18","C","23878"
"9","2009-01-18","O","26248"
"9","2009-01-25","A","16101"
"9","2009-01-25","C","32673"
"9","2009-01-25","O","28305"
"9","2009-02-01","A","22052"
"9","2009-02-01","C","46670"
"9","2009-02-01","O","33649"
"9","2009-02-08","A","24887"
"9","2009-02-08","C","56848"
"9","2009-02-08","O","36806"
"9","2009-02-15","A","24473"
"9","2009-02-15","C","53037"
"9","2009-02-15","O","36567"
"9","2009-02-22","A","26391"
"9","2009-02-22","C","59486"
"9","2009-02-22","O","39334"
"9","2009-03-01","A","25236"
"9","2009-03-01","C","55769"
"9","2009-03-01","O","38746"
"9","2009-03-08","A","21614"
"9","2009-03-08","C","50054"
"9","2009-03-08","O","36340"
"9","2009-03-15","A","17964"
"9","2009-03-15","C","41057"
"9","2009-03-15","O","32880"
"9","2009-03-22","A","15252"
"9","2009-03-22","C","33144"
"9","2009-03-22","O","30407"
"9","2009-03-29","A","13234"
"9","2009-03-29","C","26939"
"9","2009-03-29","O","28470"
"9","2009-04-05","A","10926"
"9","2009-04-05","C","18911"
"9","2009-04-05","O","25368"
"10","2009-09-06","A","31297"
"10","2009-09-06","C","70522"
"10","2009-09-06","O","43098"
"10","2009-09-13","A","39151"
"10","2009-09-13","C","94050"
"10","2009-09-13","O","51884"
"10","2009-09-20","A","44986"
"10","2009-09-20","C","113961"
"10","2009-09-20","O","57907"
"10","2009-09-27","A","53842"
"10","2009-09-27","C","136300"
"10","2009-09-27","O","67225"
"10","2009-10-04","A","65235"
"10","2009-10-04","C","148061"
"10","2009-10-04","O","76196"
"10","2009-10-11","A","76139"
"10","2009-10-11","C","159002"
"10","2009-10-11","O","83922"
"10","2009-10-18","A","92794"
"10","2009-10-18","C","185994"
"10","2009-10-18","O","96520"
"10","2009-10-25","A","91446"
"10","2009-10-25","C","164606"
"10","2009-10-25","O","94981"
"10","2009-11-01","A","86640"
"10","2009-11-01","C","139732"
"10","2009-11-01","O","91880"
"10","2009-11-08","A","72628"
"10","2009-11-08","C","99607"
"10","2009-11-08","O","79604"
"10","2009-11-15","A","56625"
"10","2009-11-15","C","73423"
"10","2009-11-15","O","68442"
"10","2009-11-22","A","33097"
"10","2009-11-22","C","39154"
"10","2009-11-22","O","48392"
"10","2009-11-29","A","39569"
"10","2009-11-29","C","42740"
"10","2009-11-29","O","55442"
