"zip3","state_ers","RUCC_mn","RUCCavg_m"
"782","TX","1","1"
"783","TX","4.14285714285714","2"
"784","TX","2","1"
"785","TX","2.67647058823529","1"
"786","TX","2.92","1"
"787","TX","1","1"
"788","TX","5.61111111111111","2"
"789","TX","5.10714285714286","2"
"790","TX","5.87837837837838","2"
"791","TX","2","1"
"792","TX","7.96875","3"
"793","TX","5.36734693877551","2"
"794","TX","2","1"
"795","TX","5.75510204081633","2"
"796","TX","3","2"
"797","TX","4.98333333333333","2"
"798","TX","5.31818181818182","2"
"799","TX","2","1"
"800","CO","1.09756097560976","1"
"801","CO","1.04545454545455","1"
"802","CO","1","1"
"803","CO","2","1"
"804","CO","3.76190476190476","2"
"805","CO","2","1"
"806","CO","2.21875","1"
"807","CO","6.90909090909091","3"
"808","CO","4.92682926829268","2"
"809","CO","2","1"
"810","CO","6.11864406779661","3"
"811","CO","7.97142857142857","3"
"812","CO","6.12121212121212","3"
"813","CO","6.11764705882353","3"
"814","CO","6.07692307692308","3"
"815","CO","3","2"
"816","CO","5.84210526315789","2"
"820","WY","3.39285714285714","2"
"821","WY","7","3"
"822","WY","7.3","3"
"823","WY","6.71428571428571","3"
"824","WY","8.18181818181818","3"
"825","WY","7","3"
"826","WY","4.42857142857143","2"
"827","WY","7","3"
"828","WY","7","3"
"829","WY","6.42857142857143","3"
"830","WY","7","3"
"831","WY","7.22222222222222","3"
"832","ID","5.26315789473684","2"
"833","ID","6.84615384615385","3"
"834","ID","5.1304347826087","2"
"835","ID","5.67857142857143","2"
"836","ID","3.89655172413793","2"
"837","ID","2","1"
"838","ID","5.109375","2"
"840","UT","3.6195652173913","2"
"841","UT","1","1"
"843","UT","2.475","1"
"844","UT","2","1"
"845","UT","7","3"
"846","UT","4.68085106382979","2"
"847","UT","5.86111111111111","2"
"850","AZ","1","1"
"851","AZ","1.2","1"
"852","AZ","1.03191489361702","1"
"853","AZ","1.96341463414634","1"
"855","AZ","5.625","2"
"856","AZ","2.79245283018868","1"
"857","AZ","2","1"
"859","AZ","4.76923076923077","2"
"860","AZ","3.36111111111111","2"
"863","AZ","3","2"
"864","AZ","3","2"
"865","AZ","5.76190476190476","2"
"870","NM","3.29310344827586","2"
"871","NM","2","1"
"873","NM","5","2"
"874","NM","3","2"
"875","NM","4.97142857142857","2"
"877","NM","7.93333333333333","3"
"878","NM","7.5","3"
"879","NM","5","2"
"880","NM","5.15094339622642","2"
"881","NM","6.39130434782609","3"
"882","NM","5","2"
"883","NM","5.42424242424242","2"
"884","NM","7.57142857142857","3"
"890","NV","2.57377049180328","1"
"891","NV","1","1"
"893","NV","6.88888888888889","3"
"894","NV","4.36734693877551","2"
"895","NV","2","1"
"897","NV","3","2"
"898","NV","5.31578947368421","2"
"900","CA","1","1"
"902","CA","1","1"
"903","CA","1","1"
"904","CA","1","1"
"905","CA","1","1"
"906","CA","1","1"
"907","CA","1","1"
"908","CA","1","1"
"910","CA","1","1"
"911","CA","1","1"
"912","CA","1","1"
"913","CA","1.0958904109589","1"
"914","CA","1","1"
"915","CA","1","1"
"916","CA","1","1"
"917","CA","1","1"
"918","CA","1","1"
"919","CA","1","1"
"920","CA","1","1"
"921","CA","1","1"
"922","CA","1.6","1"
"923","CA","1.24","1"
"924","CA","1","1"
"925","CA","1","1"
"926","CA","1","1"
"927","CA","1","1"
"928","CA","1","1"
"930","CA","2","1"
"931","CA","2","1"
"932","CA","2.11111111111111","1"
"933","CA","2","1"
"934","CA","2","1"
"935","CA","3.01851851851852","2"
"936","CA","2.3125","1"
"937","CA","2","1"
"939","CA","2","1"
"940","CA","1","1"
"941","CA","1","1"
"943","CA","1","1"
"944","CA","1","1"
"945","CA","1.37634408602151","1"
"946","CA","1","1"
"947","CA","1","1"
"948","CA","1","1"
"949","CA","1.25454545454545","1"
"950","CA","1.40677966101695","1"
"951","CA","1","1"
"952","CA","3.61538461538462","2"
"953","CA","3","2"
"954","CA","3.06493506493507","2"
"955","CA","5.3921568627451","2"
"956","CA","1.88297872340426","1"
"957","CA","1.20689655172414","1"
"958","CA","1","1"
"959","CA","4.4025974025974","2"
"960","CA","4.7375","2"
"961","CA","5.09433962264151","2"
"967","HI","3.90804597701149","2"
"968","HI","2","1"
"970","OR","2.49253731343284","1"
"971","OR","3.19047619047619","2"
"972","OR","1","1"
"973","OR","2.93243243243243","1"
"974","OR","3.47727272727273","2"
"975","OR","3","2"
"976","OR","5.69565217391304","2"
"977","OR","5.4375","2"
"978","OR","6.92592592592593","3"
"979","OR","6.1875","3"
"980","WA","1.05633802816901","1"
"981","WA","1.015625","1"
"982","WA","3.07792207792208","2"
"983","WA","2.51851851851852","1"
"984","WA","1","1"
"985","WA","3.63636363636364","2"
"986","WA","3.52380952380952","2"
"988","WA","4.43478260869565","2"
"989","WA","3.25714285714286","2"
"990","WA","2.6875","1"
"991","WA","4.77941176470588","2"
"992","WA","2","1"
"993","WA","3.30555555555556","2"
"994","WA","3","2"
"995","AK","5.57971014492754","2"
"996","AK","7.13636363636364","3"
"997","AK","7.04819277108434","3"
"998","AK","7.3","3"
"999","AK","8.69230769230769","3"
