"season","c_m","zip3","ILIsum","popstatsum"
"10","C","182","710","22736"
"10","A","183","315","102656"
"10","C","183","826","37876"
"10","A","184","171","106686"
"10","C","184","802","36793"
"10","A","185","105","59179"
"10","C","185","94","20670"
"10","A","186","371","88359"
"10","C","186","587","29514"
"10","A","187","294","73038"
"10","C","187","586","23440"
"10","A","188","61","39176"
"10","C","188","148","13963"
"10","A","189","792","196631"
"10","C","189","910","73232"
"10","A","190","3974","594835"
"10","C","190","4227","218238"
"10","A","191","3540","775377"
"10","C","191","3394","303219"
"10","A","193","930","235395"
"10","C","193","892","92548"
"10","A","194","1388","274342"
"10","C","194","2535","98205"
"10","A","195","573","122750"
"10","C","195","1364","44591"
"10","A","196","807","105048"
"10","C","196","1704","41485"
"10","A","197","1517","175922"
"10","C","197","1652","67474"
"10","A","198","563","116255"
"10","C","198","441","40586"
"10","A","199","1091","182626"
"10","C","199","2172","66919"
"10","A","200","2067","354749"
"10","C","200","1707","99487"
"10","A","201","3084","459488"
"10","C","201","7552","176762"
"10","A","206","1477","188525"
"10","C","206","2912","71260"
"10","A","207","3589","536162"
"10","C","207","5589","195576"
"10","A","208","2668","358860"
"10","C","208","7040","129358"
"10","A","209","939","165422"
"10","C","209","2300","55418"
"10","A","210","3295","394097"
"10","C","210","7745","142209"
"10","A","211","1814","249921"
"10","C","211","4468","91793"
"10","A","212","5407","660650"
"10","C","212","7651","237967"
"10","A","214","393","48550"
"10","C","214","869","16711"
"10","A","215","502","54698"
"10","C","215","1584","17837"
"10","A","216","688","89269"
"10","C","216","2327","30748"
"10","A","217","3376","263788"
"10","C","217","6306","96700"
"10","A","218","811","93960"
"10","C","218","1070","31866"
"10","A","219","494","58147"
"10","C","219","1200","20570"
"10","A","220","1480","254215"
"10","C","220","3963","85725"
"10","A","221","1537","236407"
"10","C","221","4019","88077"
"10","A","222","773","132961"
"10","C","222","808","30474"
"10","A","223","1585","184699"
"10","C","223","2594","53984"
"10","A","224","1335","115970"
"10","C","224","3294","43638"
"10","A","225","1014","105942"
"10","C","225","2288","39309"
"10","A","226","737","98254"
