"ID","ILI","popstat"
"1160A",34,99837
"1160C",142,39215
"1161A",24,118981
"1161C",41,45597
"1162A",22,48078
"1162C",23,19242
"1163A",37,81232
"1163C",46,34061
"1164A",33,67725
"1164C",28,30994
"1165A",59,97404
"1165C",40,40145
"1170A",257,308143
"1170C",207,112159
"1172A",34,97849
"1172C",14,38412
"1173A",135,166740
"1173C",87,63360
"1175A",618,156124
"1175C",649,66669
"1176A",229,75679
"1176C",297,27715
"1178A",92,118690
"1178C",66,46396
"1180A",33,255803
"1180C",51,92105
"1183A",17,88256
"1183C",9,32400
"1186A",15,88123
"1186C",13,32736
"1187A",38,70385
"1187C",29,24550
"1189A",166,188093
"1189C",62,68662
"1190A",531,586024
"1190C",764,218922
"1191A",223,750285
"1191C",254,288349
"1193A",65,210166
"1193C",405,77584
"1194A",173,249092
"1194C",182,87466
"1195A",32,110977
"1195C",48,40104
"1196A",15,99684
"1196C",12,36902
"1197A",35,164058
"1197C",190,61114
"1198A",15,115140
"1198C",48,40833
"1199A",107,145362
"1199C",58,57639
"1200A",48,301811
"1200C",32,95716
"1201A",100,337394
"1201C",428,113869
"1206A",194,158535
"1206C",65,62432
"1207A",284,532530
"1207C",387,183413
"1208A",69,354473
"1208C",171,116238
"1209A",19,159444
"1209C",80,50994
"1210A",447,383191
"1210C",314,129999
"1211A",275,229678
"1211C",380,81029
"1212A",401,623602
"1212C",326,232359
"1214A",107,47785
"1214C",120,16286
"1215A",103,51564
"1215C",206,20169
"1216A",112,80701
"1216C",95,29903
"1217A",460,228518
"1217C",412,82774
"1218A",71,84060
"1218C",341,29602
"1220A",46,252780
"1220C",183,78722
"1221A",30,235664
"1221C",141,82960
"1223A",12,179745
"1223C",22,47532
"1224A",18,88476
"1224C",17,34995
"1225A",43,80749
"1225C",24,31828
"1226A",145,80659
"1226C",62,29592
"1227A",53,35434
"1227C",23,13304
"1228A",50,78358
"1228C",53,29027
"1229A",510,117219
"1229C",386,42569
"1230A",97,94496
"1230C",46,35340
"1231A",240,159488
"1231C",235,58687
"1232A",449,281357
"1232C",148,98242
"1233A",51,131210
"1233C",20,51535
"1234A",242,313414
"1234C",382,114539
