"season","c_m","zip3","ILIsum","popstatsum"
"1","C","334","432","188904"
"1","A","335","107","269305"
"1","C","335","37","104662"
"1","A","336","190","343463"
"1","C","336","28","124373"
"1","A","337","105","356769"
"1","C","337","251","103605"
"1","A","338","236","275578"
"1","C","338","257","109336"
"1","A","339","325","234978"
"1","C","339","723","81873"
"1","A","341","51","128185"
"1","C","341","54","45807"
"1","A","342","225","273734"
"1","C","342","69","89615"
"1","A","344","71","149221"
"1","C","344","265","54844"
"1","A","346","100","233663"
"1","C","346","201","79232"
"1","A","347","855","171441"
"1","C","347","332","67468"
"1","A","349","64","158904"
"1","C","349","193","60292"
"1","A","350","83","218954"
"1","C","350","35","86080"
"1","A","351","123","160358"
"1","C","351","60","63723"
"1","A","352","90","270217"
"1","C","352","8","96643"
"1","A","354","87","112009"
"1","C","354","177","44211"
"1","A","355","119","88831"
"1","C","355","87","34129"
"1","A","356","114","187635"
"1","C","356","56","71628"
"1","A","359","80","140549"
"1","C","359","58","54956"
"1","A","360","94","137704"
"1","C","360","177","59827"
"1","A","361","69","111245"
"1","C","361","62","48537"
"1","A","362","46","96379"
"1","C","362","16","37619"
"1","A","363","12","116297"
"1","C","363","879","46914"
"1","A","365","269","159050"
"1","C","365","204","69176"
"1","A","366","52","149616"
"1","C","366","114","65542"
"1","A","367","29","60683"
"1","C","367","24","31987"
"1","A","368","110","114549"
"1","C","368","49","46157"
"1","A","370","1089","385692"
"1","C","370","2490","148490"
"1","A","371","509","259250"
"1","C","371","1501","101691"
"1","A","372","269","220532"
"1","C","372","400","81099"
"1","A","373","439","273486"
"1","C","373","512","104404"
"1","A","374","207","96346"
"1","C","374","84","35117"
"1","A","376","526","211482"
"1","C","376","472","69089"
"1","A","377","458","169632"
"1","C","377","386","61125"
"1","A","378","491","248123"
"1","C","378","378","89673"
"1","A","379","312","194211"
"1","C","379","413","66960"
"1","A","380","54","187747"
"1","C","380","19","78505"
"1","A","381","302","413176"
"1","C","381","74","173930"
"1","A","383","40","145781"
"1","C","383","14","56506"
"1","A","384","92","88705"
"1","C","384","69","35627"
"1","A","385","195","107988"
"1","C","385","108","40222"
"1","A","386","91","173335"
"1","C","386","65","82999"
"1","A","388","38","132386"
"1","C","388","561","54066"
"1","A","390","82","128883"
"1","C","390","60","63168"
"1","A","391","33","145975"
"1","C","391","24","69311"
"1","A","392","57","122809"
"1","C","392","24","52325"
"1","A","395","438","194709"
"1","C","395","221","85500"
"1","A","397","69","89999"
"1","C","397","58","41124"
"1","A","400","188","106468"
"1","C","400","107","45349"
"1","A","401","143","78199"
"1","C","401","83","34285"
"1","A","402","1191","370235"
"1","C","402","287","135195"
"1","A","403","53","161571"
"1","C","403","82","66325"
"1","A","404","55","91154"
"1","C","404","49","35631"
"1","A","405","31","156655"
"1","C","405","6","52997"
"1","A","407","31","53535"
"1","C","407","11","23474"
"1","A","409","23","39679"
"1","C","409","14","18207"
"1","A","410","1011","233294"
"1","C","410","1193","96158"
"1","A","411","80","73562"
"1","C","411","92","28712"
"1","A","412","20","26991"
"1","C","412","20","12105"
"1","A","420","35","117004"
"1","C","420","24","42324"
"1","A","421","125","100390"
"1","C","421","55","38813"
"1","A","422","75","84221"
"1","C","422","113","33890"
"1","A","425","10","37984"
"1","C","425","147","14709"
"1","A","427","25","83908"
"1","C","427","76","32629"
"1","A","430","103","352174"
"1","C","430","82","137853"
"1","A","431","141","192928"
"1","C","431","136","75722"
"1","A","432","34","425076"
"1","C","432","16","150914"
"1","A","433","67","94812"
"1","C","433","89","40486"
"1","A","434","27","90636"
"1","C","434","61","37025"
"1","A","435","116","148656"
"1","C","435","266","63087"
"1","A","436","204","195659"
"1","C","436","391","79015"
"1","A","437","52","97871"
"1","C","437","42","43437"
"1","A","440","88","447102"
"1","C","440","104","177931"
"1","A","441","460","687105"
"1","C","441","378","261740"
"1","A","442","269","290284"
"1","C","442","233","115373"
"1","A","443","137","151378"
"1","C","443","48","58060"
"1","A","444","173","187986"
"1","C","444","201","74270"
"1","A","445","121","90222"
"1","C","445","198","34846"
"1","A","446","91","231026"
"1","C","446","67","99551"
"1","A","447","39","101842"
"1","C","447","9","40067"
"1","A","448","39","181089"
"1","C","448","24","79436"
"1","A","450","979","278882"
"1","C","450","1335","112498"
"1","A","451","306","165721"
"1","C","451","816","72325"
"1","A","452","1060","444100"
"1","C","452","1938","176306"
"1","A","453","568","261209"
"1","C","453","348","108294"
"1","A","454","438","277144"
"1","C","454","245","104498"
"1","A","456","91","182422"
"1","C","456","484","78972"
"1","A","457","13","84834"
"1","C","457","7","34235"
"1","A","458","111","190613"
"1","C","458","84","86347"
"1","A","460","622","220405"
"1","C","460","526","88516"
"1","A","461","265","242553"
"1","C","461","260","100542"
"1","A","462","728","461639"
"1","C","462","277","169474"
"1","A","463","455","328154"
"1","C","463","540","134255"
"1","A","464","49","81674"
"1","C","464","56","37670"
"1","A","465","65","241984"
"1","C","465","47","103006"
"1","A","466","30","77483"
"1","C","466","35","31867"
"1","A","467","146","165501"
"1","C","467","141","75108"
"1","A","468","125","155331"
"1","C","468","84","61884"
"1","A","469","40","167979"
"1","C","469","50","70573"
"1","A","470","90","58516"
"1","C","470","253","26833"
"1","A","471","350","146486"
"1","C","471","130","59684"
"1","A","472","227","106389"
"1","C","472","209","43850"
"1","A","473","136","174686"
"1","C","473","204","69800"
"1","A","474","175","136821"
"1","C","474","191","53075"
"1","A","475","66","82546"
"1","C","475","55","35853"
"1","A","476","111","64436"
"1","C","476","79","27135"
"1","A","477","147","91066"
"1","C","477","65","35659"
"1","A","478","123","96861"
"1","C","478","112","38272"
"1","A","479","30","155374"
"1","C","479","31","63986"
"1","A","480","628","615297"
"1","C","480","1072","220574"
"1","A","481","962","868742"
"1","C","481","1475","322050"
"1","A","482","269","616603"
"1","C","482","322","271640"
"1","A","483","378","533385"
"1","C","483","540","184296"
"1","A","484","456","249478"
"1","C","484","414","102379"
"1","A","485","248","113091"
"1","C","485","179","51490"
"1","A","486","251","215269"
"1","C","486","384","91382"
"1","A","487","58","112672"
"1","C","487","55","47175"
"1","A","488","376","327511"
"1","C","488","417","137728"
"1","A","489","178","94103"
"1","C","489","240","35149"
"1","A","490","995","389110"
"1","C","490","1499","163438"
"1","A","491","67","59265"
"1","C","491","129","23551"
"1","A","492","167","187860"
"1","C","492","172","79991"
"1","A","493","437","147755"
"1","C","493","375","64656"
"1","A","494","741","274729"
"1","C","494","555","120529"
"1","A","495","709","211873"
"1","C","495","531","85042"
"1","A","496","200","125745"
"1","C","496","130","53545"
"1","A","498","63","95172"
"1","C","498","60","40010"
"1","A","499","29","41195"
"1","C","499","24","16859"
"1","A","500","42","110233"
"1","C","500","31","42838"
"1","A","501","42","81460"
"1","C","501","56","34181"
"1","A","502","94","102008"
"1","C","502","108","40435"
"1","A","503","35","142042"
"1","C","503","118","51993"
"1","A","506","6","85470"
"1","C","506","6","36961"
"1","A","508","25","16507"
"1","C","508","23","7192"
"1","A","510","183","43404"
"1","C","510","228","21338"
"1","A","511","140","42916"
"1","C","511","74","19680"
"1","A","512","77","19953"
"1","C","512","85","10653"
"1","A","513","70","23554"
"1","C","513","64","10324"
"1","A","514","84","23016"
"1","C","514","34","11452"
"1","A","515","56","72506"
"1","C","515","76","31957"
"1","A","516","40","12559"
"1","C","516","24","5271"
"1","A","520","68","69697"
"1","C","520","131","32347"
"1","A","521","34","29480"
"1","C","521","66","13756"
"1","A","523","33","71506"
"1","C","523","119","30124"
"1","A","524","19","71011"
"1","C","524","240","26038"
"1","A","526","36","57233"
"1","C","526","62","23397"
"1","A","530","47","321198"
"1","C","530","42","132466"
"1","A","531","63","348731"
"1","C","531","50","136910"
"1","A","532","70","419061"
"1","C","532","30","175475"
"1","A","535","69","261954"
"1","C","535","87","107205"
"1","A","539","17","96021"
"1","C","539","19","39359"
"1","A","540","29","65772"
"1","C","540","31","28562"
"1","A","541","239","118101"
"1","C","541","254","52620"
"1","A","542","257","65021"
"1","C","542","198","27778"
"1","A","543","155","93722"
"1","C","543","143","35726"
"1","A","544","293","193968"
"1","C","544","404","86353"
"1","A","545","33","47112"
"1","C","545","41","18493"
"1","A","548","98","89503"
"1","C","548","95","38926"
"1","A","549","332","230874"
"1","C","549","593","94078"
"1","A","550","31","309790"
"1","C","550","70","135625"
"1","A","551","29","420195"
"1","C","551","108","155893"
"1","A","553","60","449297"
"1","C","553","71","183773"
"1","A","554","117","550789"
"1","C","554","302","182696"
"1","A","558","17","61123"
"1","C","558","36","23635"
"1","A","561","85","42829"
"1","C","561","154","20341"
"1","A","570","94","79736"
"1","C","570","103","36932"
"1","A","572","33","33684"
"1","C","572","50","16427"
"1","A","574","150","30039"
"1","C","574","241","13355"
"1","A","591","17","61127"
"1","C","591","17","25046"
"1","A","600","514","836640"
"1","C","600","923","304483"
"1","A","601","447","732295"
"1","C","601","508","273176"
"1","A","602","7","48118"
"1","C","602","25","16335"
"1","A","603","12","40501"
"1","C","603","17","14004"
"1","A","604","348","730158"
"1","C","604","427","289312"
"1","A","605","167","459099"
