"2000","066","A","30-39 YEARS","34662"
"2000","066","A","40-49 YEARS","34057"
"2000","066","A","50-59 YEARS","24253"
"2000","066","C","10-14 YEARS","15948"
"2000","066","C","15-19 YEARS","13318"
"2000","066","C","5-9 YEARS","16281"
"2000","066","O","2-4 YEARS","9780"
"2000","066","O","60-69 YEARS","17154"
"2000","066","O","70-79 YEARS","15781"
"2000","066","O","<2 YEARS","6527"
"2000","067","A","20-29 YEARS","36937"
"2000","067","A","30-39 YEARS","48280"
"2000","067","A","40-49 YEARS","50520"
"2000","067","A","50-59 YEARS","35715"
"2000","067","C","10-14 YEARS","21748"
"2000","067","C","15-19 YEARS","18884"
"2000","067","O","2-4 YEARS","13046"
"2000","067","O","60-69 YEARS","23523"
"2000","067","O","70-79 YEARS","20963"
"2000","067","O","<2 YEARS","8575"
"2000","068","A","20-29 YEARS","42951"
"2000","068","A","30-39 YEARS","52034"
"2000","068","A","40-49 YEARS","65096"
"2000","068","A","50-59 YEARS","51932"
"2000","068","C","10-14 YEARS","24260"
"2000","068","C","15-19 YEARS","20655"
"2000","068","O","60-69 YEARS","31663"
"2000","069","A","20-29 YEARS","12510"
"2000","069","A","30-39 YEARS","18361"
"2000","069","A","40-49 YEARS","19058"
"2000","069","A","50-59 YEARS","12971"
"2000","069","C","10-14 YEARS","7219"
"2000","070","A","20-29 YEARS","183334"
"2000","070","A","30-39 YEARS","239358"
"2000","070","A","40-49 YEARS","248630"
"2000","070","A","50-59 YEARS","189942"
"2000","070","C","10-14 YEARS","94514"
"2000","070","C","15-19 YEARS","78617"
"2000","070","C","5-9 YEARS","93500"
"2000","070","O","2-4 YEARS","54482"
"2000","070","O","60-69 YEARS","139576"
"2000","070","O","70-79 YEARS","111966"
"2000","070","O","80+ YEARS","57581"
"2000","070","O","<2 YEARS","35649"
"2000","071","A","20-29 YEARS","55160"
"2000","071","A","30-39 YEARS","63074"
"2000","071","A","40-49 YEARS","56314"
"2000","071","A","50-59 YEARS","38687"
"2000","071","C","10-14 YEARS","27417"
"2000","071","O","2-4 YEARS","16982"
"2000","071","O","<2 YEARS","11356"
"2000","072","C","5-9 YEARS","11359"
"2000","072","O","60-69 YEARS","13350"
"2000","072","O","80+ YEARS","4759"
"2000","073","A","20-29 YEARS","34473"
"2000","073","A","30-39 YEARS","39477"
"2000","073","C","10-14 YEARS","16369"
"2000","073","C","15-19 YEARS","13440"
"2000","073","C","5-9 YEARS","16561"
"2000","073","O","2-4 YEARS","9883"
"2000","073","O","60-69 YEARS","16771"
"2000","073","O","<2 YEARS","6617"
"2000","074","A","20-29 YEARS","55085"
"2000","074","A","30-39 YEARS","62758"
"2000","074","A","40-49 YEARS","76316"
"2000","074","A","50-59 YEARS","63951"
"2000","074","C","10-14 YEARS","29674"
"2000","074","C","15-19 YEARS","27524"
"2000","074","C","5-9 YEARS","29142"
"2000","074","O","2-4 YEARS","17082"
"2000","074","O","<2 YEARS","11156"
"2000","075","A","30-39 YEARS","30316"
"2000","075","C","15-19 YEARS","12940"
"2000","075","C","5-9 YEARS","14999"
"2000","075","O","2-4 YEARS","9076"
"2000","075","O","60-69 YEARS","12158"
"2000","075","O","<2 YEARS","6048"
"2000","076","A","20-29 YEARS","54370"
"2000","076","A","30-39 YEARS","70521"
"2000","076","A","50-59 YEARS","66818"
"2000","076","C","10-14 YEARS","28349"
"2000","076","C","15-19 YEARS","23819"
"2000","076","C","5-9 YEARS","27709"
"2000","076","O","2-4 YEARS","15897"
"2000","076","O","60-69 YEARS","47509"
"2000","076","O","70-79 YEARS","34002"
"2000","076","O","<2 YEARS","10288"
"2000","078","A","20-29 YEARS","40939"
"2000","078","A","30-39 YEARS","50756"
"2000","078","A","40-49 YEARS","62999"
"2000","078","A","50-59 YEARS","43064"
"2000","078","C","10-14 YEARS","23560"
"2000","078","C","15-19 YEARS","21680"
"2000","078","C","5-9 YEARS","23334"
"2000","078","O","2-4 YEARS","13928"
"2000","078","O","60-69 YEARS","24116"
"2000","078","O","80+ YEARS","8591"
