"season","c_m","zip3","ILI","popstat"
"5","A","128","39","964417"
"5","C","128","24","259541"
"5","O","128","48","306767"
"5","A","129","137","1760310"
"5","C","129","84","410101"
"5","O","129","167","370799"
"5","A","130","223","5546187"
"5","C","130","333","2460612"
"5","O","130","586","2111076"
"5","A","131","93","1424086"
"5","C","131","85","673810"
"5","O","131","162","681233"
"5","A","132","373","3778440"
"5","C","132","375","1429591"
"5","O","132","959","1471645"
"5","A","133","42","411344"
"5","C","133","28","213212"
"5","O","133","57","213900"
"5","A","134","78","1346821"
"5","C","134","65","445287"
"5","O","134","67","354859"
"5","A","135","47","242038"
"5","C","135","31","97423"
"5","O","135","17","39018"
"5","A","136","26","525484"
"5","C","136","6","96164"
"5","O","136","17","205167"
"5","A","137","8","104464"
"5","C","137","9","72991"
"5","O","137","15","71505"
"5","A","138","12","148818"
"5","C","138","11","93575"
"5","O","138","16","66575"
"5","A","140","24","1186603"
"5","C","140","79","1419255"
"5","O","140","148","878832"
"5","A","141","12","270003"
"5","C","141","40","287902"
"5","O","141","75","247701"
"5","A","142","78","4401336"
"5","C","142","788","3837279"
"5","O","142","1158","1500258"
"5","A","143","2","60881"
"5","C","143","15","56061"
"5","O","143","27","43322"
"5","A","144","2","84974"
"5","C","144","4","91304"
"5","O","144","16","167200"
"5","A","145","5","218615"
"5","C","145","2","45532"
"5","O","145","37","298032"
"5","A","146","27","845056"
"5","C","146","1","33021"
"5","O","146","96","803639"
"5","A","147","4","72251"
"5","C","147","6","74572"
"5","O","147","46","150051"
"5","A","148","103","2475476"
"5","C","148","72","877696"
"5","O","148","126","932217"
"5","A","150","357","6699900"
"5","C","150","266","2289644"
"5","O","150","461","3792388"
"5","A","151","554","5961787"
"5","C","151","551","2348437"
"5","O","151","748","3270218"
"5","A","152","884","12829235"
"5","C","152","1044","4290672"
"5","O","152","1174","5933868"
"5","A","153","81","1337717"
"5","C","153","284","977075"
"5","O","153","306","768968"
"5","A","154","75","1146290"
"5","C","154","104","591180"
"5","O","154","99","467123"
"5","A","155","143","721941"
"5","C","155","218","387059"
"5","O","155","210","362193"
"5","A","156","526","5112870"
"5","C","156","553","1832850"
"5","O","156","709","2807349"
"5","A","157","210","1503602"
"5","C","157","198","525160"
"5","O","157","241","522955"
"5","A","158","11","75761"
"5","C","158","41","181688"
"5","O","158","56","136752"
"5","A","159","17","301438"
"5","C","159","18","161868"
"5","O","159","51","321259"
"5","A","160","165","2076906"
"5","C","160","241","1147609"
"5","O","160","192","907411"
"5","A","161","214","2828698"
"5","C","161","92","741627"
"5","O","161","160","1183429"
"5","A","162","112","708691"
"5","C","162","65","243834"
"5","O","162","90","258351"
"5","A","163","180","1470713"
"5","C","163","37","306388"
"5","O","163","101","499817"
"5","A","164","148","1399397"
"5","C","164","92","536667"
"5","O","164","122","438901"
"5","A","165","511","3108885"
"5","C","165","244","1108586"
"5","O","165","500","1216902"
"5","A","166","100","1606347"
"5","C","166","73","579612"
"5","O","166","117","715461"
"5","A","167","11","88440"
"5","C","167","14","36940"
"5","O","167","10","16713"
"5","A","168","69","1003638"
"5","C","168","44","352436"
"5","O","168","81","347563"
"5","A","169","11","90823"
"5","C","169","14","58989"
"5","O","169","27","47536"
"5","A","170","477","9403568"
"5","C","170","277","3382359"
"5","O","170","438","3991493"
"5","A","171","103","1469524"
"5","C","171","30","238746"
"5","O","171","46","352929"
"5","A","172","160","2088908"
"5","C","172","75","561443"
"5","O","172","131","571686"
"5","A","173","328","4636244"
"5","C","173","256","1854593"
"5","O","173","350","1618698"
"5","A","174","82","1013488"
"5","C","174","38","230833"
"5","O","174","54","272154"
"5","A","175","1303","5330780"
"5","C","175","842","2300766"
"5","O","175","1082","2352090"
"5","A","176","641","2709202"
"5","C","176","508","991356"
"5","O","176","789","1209578"
"5","A","177","61","713541"
"5","C","177","8","68041"
"5","O","177","32","192620"
"5","A","178","73","1452336"
"5","C","178","22","324866"
"5","O","178","58","638128"
"5","A","179","14","195274"
"5","C","179","10","55236"
"5","O","179","18","70316"
"5","A","180","221","5739048"
"5","C","180","135","1845656"
"5","O","180","189","2204078"
"5","A","181","20","359529"
"5","C","181","5","51435"
"5","O","181","9","51258"
"5","A","182","74","775283"
"5","C","182","21","121520"
"5","O","182","28","139330"
"5","A","183","164","1874013"
"5","C","183","158","973557"
"5","O","183","84","373774"
"5","A","184","62","1182430"
"5","C","184","453","1163339"
"5","O","184","188","429603"
"5","A","185","8","105571"
"5","C","185","7","42098"
"5","O","185","13","57058"
"5","A","186","68","1276944"
"5","C","186","198","811301"
"5","O","186","299","608194"
"5","A","187","124","1600988"
"5","C","187","314","758799"
"5","O","187","457","630934"
"5","A","188","2","19355"
"5","C","188","1","4583"
"5","O","188","6","15487"
"5","A","189","574","6176035"
"5","C","189","545","2380579"
"5","O","189","509","2233212"
"5","A","190","2006","20411358"
"5","C","190","2371","7728125"
"5","O","190","2593","9426251"
"5","A","191","1711","26884682"
"5","C","191","900","10588991"
"5","O","191","1982","11418288"
"5","A","193","598","7435234"
"5","C","193","426","2954926"
"5","O","193","439","2362614"
"5","A","194","886","8812389"
"5","C","194","630","3080220"
"5","O","194","750","3007520"
"5","A","195","228","2837622"
"5","C","195","264","1171698"
"5","O","195","263","782784"
"5","A","196","87","1416118"
"5","C","196","117","821800"
"5","O","196","138","490312"
"5","A","197","432","5209301"
"5","C","197","497","2032071"
"5","O","197","557","1291367"
"5","A","198","297","3086491"
"5","C","198","156","964323"
"5","O","198","178","991889"
"5","A","199","608","5094491"
"5","C","199","314","1611273"
"5","O","199","473","2373967"
"5","A","200","716","11122843"
"5","C","200","741","2951488"
"5","O","200","1583","3670839"
"5","A","201","1308","13680984"
"5","C","201","2426","5346369"
"5","O","201","2908","3614982"
"5","A","206","1175","5948454"
"5","C","206","1883","2456317"
"5","O","206","1828","1692719"
"5","A","207","2390","18928022"
"5","C","207","2901","7145163"
"5","O","207","4181","6162357"
"5","A","208","984","11935893"
"5","C","208","2861","4540042"
"5","O","208","3541","4339041"
"5","A","209","491","5019423"
"5","C","209","1364","1940965"
"5","O","209","1957","1999506"
"5","A","210","1711","13244962"
"5","C","210","4382","5037961"
"5","O","210","4496","4864106"
"5","A","211","1406","8374047"
"5","C","211","3587","3195818"
"5","O","211","3427","2760742"
"5","A","212","2885","22168942"
"5","C","212","4280","8223447"
"5","O","212","4830","9862683"
"5","A","214","299","1265037"
"5","C","214","782","543278"
"5","O","214","827","340654"
"5","A","215","496","1525529"
"5","C","215","880","645082"
"5","O","215","785","707041"
"5","A","216","285","2036099"
"5","C","216","430","1011618"
"5","O","216","633","1036871"
"5","A","217","2144","8618050"
"5","C","217","2294","3286771"
"5","O","217","2780","3103971"
"5","A","218","387","2485688"
"5","C","218","415","1022290"
"5","O","218","437","889404"
"5","A","219","110","852525"
"5","C","219","204","558546"
"5","O","219","247","306659"
"5","A","220","655","8403125"
"5","C","220","1572","3056640"
"5","O","220","1725","2417203"
"5","A","221","632","7218729"
"5","C","221","1051","3110413"
"5","O","221","1014","1958600"
"5","A","222","302","3340882"
"5","C","222","146","542760"
"5","O","222","217","664537"
"5","A","223","516","5786598"
"5","C","223","215","1294767"
"5","O","223","452","1651604"
"5","A","224","360","3157104"
"5","C","224","312","1194819"
"5","O","224","401","889167"
"5","A","225","425","2772334"
"5","C","225","350","1118915"
"5","O","225","334","722664"
"5","A","226","491","2644195"
"5","C","226","830","1095180"
"5","O","226","1299","1050381"
"5","A","227","205","935576"
"5","C","227","193","406834"
"5","O","227","191","247080"
"5","A","228","135","1493213"
"5","C","228","86","594488"
"5","O","228","178","610874"
"5","A","229","1622","4368074"
"5","C","229","514","1461680"
"5","O","229","1031","1767659"
"5","A","230","694","3308011"
"5","C","230","473","1292492"
"5","O","230","591","1060282"
"5","A","231","1299","5913079"
"5","C","231","981","2308550"
"5","O","231","1047","1971598"
"5","A","232","1739","9667183"
"5","C","232","1018","3351970"
"5","O","232","1268","3280893"
"5","A","233","461","3784627"
"5","C","233","318","1601202"
"5","O","233","379","1243209"
"5","A","234","861","10496084"
"5","C","234","630","4087669"
"5","O","234","639","3446135"
"5","A","235","168","2495848"
"5","C","235","153","1130102"
"5","O","235","172","755592"
"5","A","236","1516","7402326"
"5","C","236","1540","2924795"
"5","O","236","1864","2774328"
"5","A","237","149","829997"
"5","C","237","38","216979"
"5","O","237","129","349680"
"5","A","238","1025","5843177"
"5","C","238","400","2152108"
"5","O","238","531","1884755"
"5","A","239","565","1429367"
"5","C","239","408","581084"
"5","O","239","590","744419"
"5","A","240","310","4768815"
"5","C","240","299","1793216"
"5","O","240","274","1475273"
"5","A","241","289","2642194"
"5","C","241","208","1059074"
"5","O","241","226","1021148"
"5","A","242","348","2372783"
"5","C","242","634","1066067"
"5","O","242","610","1032061"
"5","A","243","163","1617087"
"5","C","243","161","580980"
"5","O","243","231","709837"
"5","A","244","229","1662393"
"5","C","244","326","693715"
"5","O","244","412","696382"
"5","A","245","867","5879373"
"5","C","245","668","2360246"
"5","O","245","1062","2830687"
"5","A","246","354","962654"
"5","C","246","1000","406826"
"5","O","246","690","347599"
"5","A","247","41","271037"
"5","C","247","128","196012"
"5","O","247","254","169215"
"5","A","248","20","105310"
"5","C","248","48","78526"
"5","O","248","132","84783"
"5","A","249","191","533409"
"5","C","249","218","228451"
"5","O","249","203","226383"
"5","A","250","82","454400"
"5","C","250","62","173846"
"5","O","250","80","185784"
"5","A","251","49","375795"
"5","C","251","35","123714"
"5","O","251","76","209488"
"5","A","252","78","289488"
"5","C","252","14","43071"
"5","O","252","298","182731"
"5","A","253","118","1005174"
"5","C","253","97","369670"
"5","O","253","205","516723"
"5","A","254","280","2262165"
"5","C","254","275","877856"
"5","O","254","458","601854"
"5","A","255","373","1924818"
"5","C","255","156","588159"
"5","O","255","147","594806"
"5","A","256","130","490640"
"5","C","256","39","103370"
"5","O","256","63","135504"
"5","A","257","289","980274"
"5","C","257","119","241468"
"5","O","257","68","179761"
"5","A","258","149","873844"
